,week-year,state,new_case
603,05-2021,AS,0
604,05-2021,AZ,25735
605,05-2021,CA,96488
606,05-2021,CO,9323
607,05-2021,CT,9349
608,05-2021,DC,1215
609,05-2021,DE,2613
610,05-2021,FL,54360
611,05-2021,FSM,0
612,05-2021,GA,31544
613,05-2021,GU,57
614,05-2021,HI,617
615,05-2021,IA,5381
616,05-2021,ID,2526
617,05-2021,IL,20408
618,05-2021,IN,13112
619,05-2021,KS,6877
620,05-2021,KY,14317
621,05-2021,LA,12585
622,05-2021,MA,19467
623,05-2021,MD,9358
624,05-2021,ME,1729
625,05-2021,MI,8795
626,05-2021,MN,6398
627,05-2021,MO,9785
628,05-2021,MP,1
629,05-2021,MS,6593
630,05-2021,MT,1955
631,05-2021,NC,36640
632,05-2021,ND,525
633,05-2021,NE,3236
634,05-2021,NH,2699
635,05-2021,NJ,25292
636,05-2021,NM,3675
637,05-2021,NV,6042
638,05-2021,NY,32725
639,05-2021,NYC,29188
640,05-2021,OH,25298
641,05-2021,OK,11509
642,05-2021,OR,4325
643,05-2021,PA,26661
644,05-2021,PR,1878
645,05-2021,PW,0
646,05-2021,RI,3175
647,05-2021,RMI,0
648,05-2021,SC,20040
649,05-2021,SD,1062
650,05-2021,TN,17092
651,05-2021,TX,127641
652,05-2021,UT,8270
653,05-2021,VA,23955
654,05-2021,VI,45
655,05-2021,VT,850
656,05-2021,WA,8833
657,05-2021,WI,9019
658,05-2021,WV,3850
659,05-2021,WY,914
660,05-2022,AK,12125
661,05-2022,AL,29941
662,05-2022,AR,25300
663,05-2022,AS,0
664,05-2022,AZ,66743
665,05-2022,CA,368463
666,05-2022,CO,29348
667,05-2022,CT,10070
668,05-2022,DC,1726
669,05-2022,DE,3834
670,05-2022,FL,119012
671,05-2022,FSM,2
672,05-2022,GA,56607
673,05-2022,GU,4309
674,05-2022,HI,10190
675,05-2022,IA,17412
676,05-2022,ID,13346
677,05-2022,IL,60389
678,05-2022,IN,42865
679,05-2022,KS,21669
680,05-2022,KY,46178
681,05-2022,LA,28209
682,05-2022,MA,32011
683,05-2022,MD,11749
684,05-2022,ME,6609
685,05-2022,MI,59870
686,05-2022,MN,49393
687,05-2022,MO,30596
688,05-2022,MP,1023
689,05-2022,MS,34196
690,05-2022,MT,11228
691,05-2022,NC,77953
692,05-2022,ND,7515
693,05-2022,NE,10435
694,05-2022,NH,8808
695,05-2022,NJ,21585
696,05-2022,NM,19188
697,05-2022,NV,17123
698,05-2022,NY,36098
699,05-2022,NYC,20206
700,05-2022,OH,37034
701,05-2022,OK,31891
702,05-2022,OR,33691
703,05-2022,PA,39561
704,05-2022,PR,8280
705,05-2022,PW,1152
706,05-2022,RI,5718
707,05-2022,RMI,0
708,05-2022,SC,40966
709,05-2022,SD,4857
710,05-2022,TN,63906
711,05-2022,TX,184646
712,05-2022,UT,23016
713,05-2022,VA,46410
714,05-2022,VI,178
715,05-2022,VT,3732
716,05-2022,WA,67358
717,05-2022,WI,31984
718,05-2022,WV,19640
719,05-2022,WY,5316
720,06-2021,AK,931
721,06-2021,AL,9126
722,06-2021,AR,6498
723,06-2021,AS,1
724,06-2021,AZ,16251
725,06-2021,CA,70174
726,06-2021,CO,8106
727,06-2021,CT,7965
728,06-2021,DC,919
729,06-2021,DE,2634
730,06-2021,FL,48507
731,06-2021,FSM,0
732,06-2021,GA,25406
733,06-2021,GU,53
734,06-2021,HI,404
735,06-2021,IA,4782
736,06-2021,ID,2274
737,06-2021,IL,16242
738,06-2021,IN,9754
739,06-2021,KS,4540
740,06-2021,KY,11514
741,06-2021,LA,8724
742,06-2021,MA,15068
743,06-2021,MD,8052
744,06-2021,ME,1184
745,06-2021,MI,9599
746,06-2021,MN,5574
747,06-2021,MO,6433
748,06-2021,MP,1
749,06-2021,MS,5143
750,06-2021,MT,1580
751,06-2021,NC,24526
752,06-2021,ND,442
753,06-2021,NE,2556
754,06-2021,NH,2444
755,06-2021,NJ,25984
756,06-2021,NM,3075
757,06-2021,NV,4445
758,06-2021,NY,29238
759,06-2021,NYC,31112
760,06-2021,OH,19462
761,06-2021,OK,6938
762,06-2021,OR,3293
763,06-2021,PA,25557
764,06-2021,PR,1660
765,06-2021,PW,0
766,06-2021,RI,2571
767,06-2021,RMI,0
768,06-2021,SC,16805
769,06-2021,SD,1073
770,06-2021,TN,15380
771,06-2021,TX,76344
772,06-2021,UT,6884
773,06-2021,VA,21248
774,06-2021,VI,58
775,06-2021,VT,784
776,06-2021,WA,7871
777,06-2021,WI,6635
778,06-2021,WV,3092
779,06-2021,WY,468
780,06-2022,AK,7095
781,06-2022,AL,19423
782,06-2022,AR,12715
783,06-2022,AS,39
784,06-2022,AZ,34431
785,06-2022,CA,193681
786,06-2022,CO,16984
787,06-2022,CT,6744
788,06-2022,DC,1277
789,06-2022,DE,2465
790,06-2022,FL,86502
791,06-2022,FSM,0
792,06-2022,GA,31006
793,06-2022,GU,3872
794,06-2022,HI,5248
795,06-2022,IA,9866
796,06-2022,ID,12070
797,06-2022,IL,29939
798,06-2022,IN,17416
799,06-2022,KS,11747
800,06-2022,KY,31703
801,06-2022,LA,15752
802,06-2022,MA,18194
803,06-2022,MD,6325
804,06-2022,ME,4348
805,06-2022,MI,29804
806,06-2022,MN,29343
807,06-2022,MO,18797
808,06-2022,MP,1462
809,06-2022,MS,14355
810,06-2022,MT,6601
811,06-2022,NC,47340
812,06-2022,ND,4512
813,06-2022,NE,4868
814,06-2022,NH,6891
815,06-2022,NJ,14859
816,06-2022,NM,10815
817,06-2022,NV,8111
818,06-2022,NY,22859
819,06-2022,NYC,14456
820,06-2022,OH,22791
821,06-2022,OK,11300
822,06-2022,OR,20157
823,06-2022,PA,33587
824,06-2022,PR,4883
825,06-2022,PW,577
826,06-2022,RI,3385
827,06-2022,RMI,0
828,06-2022,SC,24384
829,06-2022,SD,2485
830,06-2022,TN,36241
831,06-2022,TX,98347
832,06-2022,UT,12633
833,06-2022,VA,30676
834,06-2022,VI,158
835,06-2022,VT,2229
836,06-2022,WA,34225
837,06-2022,WI,18147
838,06-2022,WV,12866
839,06-2022,WY,2739
840,07-2021,AK,904
841,07-2021,AL,5845
842,07-2021,AR,2668
843,07-2021,AS,0
844,07-2021,AZ,10861
845,07-2021,CA,44150
846,07-2021,CO,6812
847,07-2021,CT,5764
848,07-2021,DC,757
849,07-2021,DE,1881
850,07-2021,FL,41433
851,07-2021,FSM,0
852,07-2021,GA,20939
853,07-2021,GU,26
854,07-2021,HI,282
855,07-2021,IA,3509
856,07-2021,ID,1667
857,07-2021,IL,12301
858,07-2021,IN,7087
859,07-2021,KS,4730
860,07-2021,KY,7849
861,07-2021,LA,3702
862,07-2021,MA,11869
863,07-2021,MD,5601
